#node	identifier	domain_summary_url	annotation	other_names_and_aliases
MAL13P1.107	5833.MAL13P1.107	https://smart.embl.de/smart/DDvec.cgi?smart=1486:SIGNAL(1|21)+COIL(673|755)+	Putative uncharacterized protein	CAD52343.1	MAL13P1.107	MAL13P1.107	MAL13P1.107	MAL13P1.107	MAL13P1.107	MAL13P1.107	MAL13P1.107	MAL13P1.107:mRNA	MAL13P1.107:mRNA	MAL13P1.107:mRNA	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q8IEB7_PLAF7	UPI0000085433	XM_001349899	XM_001349899.1	XP_001349935	XP_001349935	XP_001349935.1	pfa:MAL13P1.107
MAL13P1.115	5833.MAL13P1.115	https://smart.embl.de/smart/DDvec.cgi?smart=78:Pfam_4F5(4|36)+Pfam_zf-met2(38|74)+	Putative uncharacterized protein	CAD52359.1	MAL13P1.115	MAL13P1.115	MAL13P1.115	MAL13P1.115	MAL13P1.115	MAL13P1.115	MAL13P1.115	MAL13P1.115:mRNA	MAL13P1.115:mRNA	MAL13P1.115:mRNA	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q8IEA2_PLAF7	UPI0000085442	XM_001349915	XM_001349915.1	XP_001349951	XP_001349951	XP_001349951.1	pfa:MAL13P1.115
MAL13P1.127	5833.MAL13P1.127	http://smart.embl.de/smart/DDt.cgi?smart=318:	Putative uncharacterized protein	C0H5D1_PLAF7	CAX64309.1	MAL13P1.127	MAL13P1.127	MAL13P1.127	MAL13P1.127	MAL13P1.127	MAL13P1.127	MAL13P1.127	MAL13P1.127:mRNA	MAL13P1.127:mRNA	MAL13P1.127:mRNA	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	UPI000198211D	XM_002808982	XM_002808982.1	XP_002809028	XP_002809028	XP_002809028.1	pfa:MAL13P1.127
MAL13P1.140	5833.MAL13P1.140	https://smart.embl.de/smart/DDvec.cgi?smart=2747:COIL(333|376)+COIL(414|459)+COIL(502|523)+COIL(550|639)+COIL(692|735)+COIL(894|929)+COIL(2349|2424)+COIL(2462|2495)+	Uncharacterized protein	A0A024W2K3	A0A024W2K3_PLAFA	C0H5D6_PLAF7	CAX64314.1	MAL13P1.140	MAL13P1.140	MAL13P1.140	MAL13P1.140	MAL13P1.140	MAL13P1.140	MAL13P1.140	MAL13P1.140:mRNA	MAL13P1.140:mRNA	MAL13P1.140:mRNA	PFTANZ_04470	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	UPI0001982130	Uncharacterized protein	XM_002808987	XM_002808987.1	XP_002809033	XP_002809033	XP_002809033.1	pfa:MAL13P1.140
MAL13P1.145	5833.MAL13P1.145	https://smart.embl.de/smart/DDvec.cgi?smart=2115:COIL(799|819)+COIL(1376|1420)+COIL(2052|2079)+TRANS(2092|2114)+	Uncharacterized protein	A0A024W3S2	A0A024W3S2_PLAFA	C0H5D8_PLAF7	CAX64316.1	MAL13P1.145	MAL13P1.145	MAL13P1.145	MAL13P1.145	MAL13P1.145	MAL13P1.145	MAL13P1.145	MAL13P1.145:mRNA	MAL13P1.145:mRNA	MAL13P1.145:mRNA	PFTANZ_04473	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	UPI0001982132	Uncharacterized protein	XM_002808989	XM_002808989.1	XP_002809035	XP_002809035	XP_002809035.1	pfa:MAL13P1.145
PfVAMP8	5833.MAL13P1.16	https://smart.embl.de/smart/DDvec.cgi?smart=208:Longin(28|108)+Pfam_Synaptobrevin(120|207)+	SNARE protein	ABG38011.1	CAD52166.1	DQ649421	MAL13P1.16	MAL13P1.16	MAL13P1.16	MAL13P1.16	MAL13P1.16:mRNA	MAL13P1.16:mRNA	MAL13P1.16:mRNA	PfVAMP8	PfVAMP8	PfVAMP8	PfVAMP8	Q0ZAF6_PLAFA	Q8IET3_PLAF7	SNARE protein	SNARE protein	SNARE protein	SNARE protein, putative	UPI0000085393	XM_001349723	XM_001349723.1	XP_001349759	XP_001349759	XP_001349759.1	pfa:MAL13P1.16
MAL13P1.180	5833.MAL13P1.180	http://smart.embl.de/smart/DDt.cgi?smart=297:	Uncharacterized protein	A0A024W2B8	A0A024W2B8_PLAFA	CAD52500.1	MAL13P1.180	MAL13P1.180	MAL13P1.180	MAL13P1.180	MAL13P1.180	MAL13P1.180	MAL13P1.180	MAL13P1.180:mRNA	MAL13P1.180:mRNA	MAL13P1.180:mRNA	PFTANZ_04575	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q8IDW9_PLAF7	UPI00000854C3	Uncharacterized protein	XM_001350055	XM_001350055.1	XP_001350091	XP_001350091	XP_001350091.1	pfa:MAL13P1.180
MAL13P1.196	5833.MAL13P1.196	https://smart.embl.de/smart/DDvec.cgi?smart=931:TRANS(7|29)+COIL(339|373)+Pfam_Pkinase(428|730)+	Protein kinase, putative	A0A024W299	A0A024W299_PLAFA	CAD52525.1	CMGC/CDK protein kinase	MAL13P1.196	MAL13P1.196	MAL13P1.196	MAL13P1.196	MAL13P1.196	MAL13P1.196	MAL13P1.196	MAL13P1.196:mRNA	MAL13P1.196:mRNA	MAL13P1.196:mRNA	PFTANZ_04603	Protein kinase, putative	Protein kinase, putative	Protein kinase, putative	Q8IDU4_PLAF7	UPI00000854DA	XM_001350080	XM_001350080.1	XP_001350116	XP_001350116	XP_001350116.1	pfa:MAL13P1.196
MAL13P1.201	5833.MAL13P1.201	https://smart.embl.de/smart/DDvec.cgi?smart=592:TRANS(52|71)+COIL(307|342)+TRANS(479|501)+TRANS(551|573)+	Uncharacterized protein	A0A024W1Z3	A0A024W1Z3_PLAFA	CAD52530.1	MAL13P1.201	MAL13P1.201	MAL13P1.201	MAL13P1.201	MAL13P1.201	MAL13P1.201	MAL13P1.201	MAL13P1.201:mRNA	MAL13P1.201:mRNA	MAL13P1.201:mRNA	PFTANZ_04609	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q8IDT9_PLAF7	UPI00000854DF	Uncharacterized protein	XM_001350085	XM_001350085.1	XP_001350121	XP_001350121	XP_001350121.1	pfa:MAL13P1.201
MAL13P1.212	5833.MAL13P1.212	https://smart.embl.de/smart/DDvec.cgi?smart=245:SIGNAL(1|21)+COIL(181|203)+	Sporozoite microneme protein (SPECT)	A0A024W275	A0A024W275_PLAFA	CAD52555.1	MAL13P1.212	MAL13P1.212	MAL13P1.212	MAL13P1.212	MAL13P1.212	MAL13P1.212	MAL13P1.212:mRNA	MAL13P1.212:mRNA	MAL13P1.212:mRNA	PFTANZ_04635	Q8IDR4_PLAF7	SPECT	Sporozoite microneme protein (SPECT)	Sporozoite microneme protein (SPECT)	Sporozoite microneme protein (SPECT)	UPI00000854F7	Uncharacterized protein	XM_001350110	XM_001350110.1	XP_001350146	XP_001350146	XP_001350146.1	pfa:MAL13P1.212
MAL13P1.218	5833.MAL13P1.218	https://smart.embl.de/smart/DDvec.cgi?smart=593:Pfam_UDPGP(36|158)+Pfam_UDPGP(211|587)+	Uncharacterized protein; UDP-N-acetylglucosamine pyrophosphorylase, putative	2.7.7.23	2.7.7.83	A0A024W1S2	A0A024W1S2_PLAFA	CAD52566.2	EC 2.7.7.23	EC 2.7.7.83	MAL13P1.218	MAL13P1.218	MAL13P1.218	MAL13P1.218	MAL13P1.218	MAL13P1.218	MAL13P1.218	MAL13P1.218:mRNA	MAL13P1.218:mRNA	MAL13P1.218:mRNA	PFTANZ_04647	Q8IDQ3_PLAF7	UPI0001982148	Uncharacterized protein	XM_001350121	XM_001350121.2	XP_001350157	XP_001350157	XP_001350157.2	pfa:MAL13P1.218
PfLigI	5833.MAL13P1.22	https://smart.embl.de/smart/DDvec.cgi?smart=912:Pfam_DNA_ligase_A_N(176|357)+Pfam_DNA_ligase_A_M(536|740)+Pfam_DNA_ligase_A_C(765|876)+	DNA ligase	6.5.1.1	6.5.1.6	6.5.1.7	A0A024W3A6	A0A024W3A6_PLAFA	AAL59668.2	AAN64156.1	AY069960	AY161174	CAD52175.1	DNA ligase	DNA ligase	DNA ligase	DNA ligase	DNA ligase I	EC 6.5.1.1	EC 6.5.1.6	EC 6.5.1.7	MAL13P1.22	MAL13P1.22	MAL13P1.22	MAL13P1.22	MAL13P1.22:mRNA	MAL13P1.22:mRNA	MAL13P1.22:mRNA	PFTANZ_04249	PfLigI	PfLigI	PfLigI	PfLigI	Q8IES4_PLAF7	Q8WQK1_PLAFA	UPI0000083E3E	XM_001349732	XM_001349732.1	XP_001349768	XP_001349768	XP_001349768.1	pfa:MAL13P1.22
MAL13P1.227	5833.MAL13P1.227	https://smart.embl.de/smart/DDvec.cgi?smart=278:TRANS(7|29)+UBCc(137|278)+	Uncharacterized protein; Ubiquitin conjugating enzyme, putative; Belongs to the ubiquitin-conjugating enzyme family	2H2Y	A0A024W2A4	A0A024W2A4_PLAFA	CAD52578.1	MAL13P1.227	MAL13P1.227	MAL13P1.227	MAL13P1.227	MAL13P1.227	MAL13P1.227	MAL13P1.227:mRNA	MAL13P1.227:mRNA	MAL13P1.227:mRNA	PFTANZ_04665	Q8IDP1_PLAF7	UPI000008550B	Ubc	Ubiquitin conjugating enzyme, putative	Ubiquitin conjugating enzyme, putative	Ubiquitin conjugating enzyme, putative	Uncharacterized protein	XM_001350133	XM_001350133.1	XP_001350169	XP_001350169	XP_001350169.1	pfa:MAL13P1.227
